Process File: 43,,,,,,,,
Processes: 50,,,,,,,,
Device Load: balanced.,,,,,,,,
Arrival Times: flow,,,,,,,,
,,,,,,,,
IO's,CPU's,Scheduler,Throughput,Average Response Time,Context Switches,CPU Utilization,Average Waiting Time,Average Turnaround Time
1,1,First Come First Serve,0.01668,95.14,419,0.91,1105.88,2082.56
2,1,First Come First Serve,0.01825,148.60,419,0.99,1870.74,1996.48
1,2,First Come First Serve,0.01674,4.78,419,0.29,20.34,1883.56
2,2,First Come First Serve,0.03289,41.56,419,0.87,454.78,888.96
1,1,Round Robin,0.01671,30.50,1468,0.91,1216.86,1956.96
1,1,Round Robin,0.01670,62.16,720,0.91,1210.82,2001.02
1,1,Round Robin,0.01673,82.88,476,0.91,1151.68,2047.70
2,1,Round Robin,0.01813,42.52,1468,0.99,1692.02,1813.84
2,1,Round Robin,0.01820,90.98,720,0.99,1721.64,1847.58
2,1,Round Robin,0.01815,135.84,476,0.99,1790.74,1918.02
1,2,Round Robin,0.01674,1.60,1468,0.26,22.02,1881.48
1,2,Round Robin,0.01674,3.04,720,0.27,20.90,1879.16
1,2,Round Robin,0.01674,4.78,476,0.27,21.08,1881.04
2,2,Round Robin,0.03298,13.10,1468,0.86,497.16,837.02
2,2,Round Robin,0.03298,26.36,720,0.86,496.66,847.96
2,2,Round Robin,0.03298,38.38,476,0.87,460.62,877.76
1,1,Shortest Job First,0.01661,141.20,419,0.90,489.30,1704.54
2,1,Shortest Job First,0.01816,300.52,419,0.99,1052.18,1176.00
1,2,Shortest Job First,0.01674,3.24,419,0.29,15.58,1868.28
2,2,Shortest Job First,0.03262,30.46,419,0.86,204.44,735.06
1,1,Shortest Remaining Time First,0.01672,144.06,471,0.91,485.64,1708.40
2,1,Shortest Remaining Time First,0.01792,286.84,459,0.97,1048.64,1167.52
1,2,Shortest Remaining Time First,0.01674,85.00,481,0.30,14.22,1868.52
2,2,Shortest Remaining Time First,0.03292,51.78,513,0.87,206.24,734.78
1,1,Priority,0.01671,835.80,419,0.91,1029.06,1651.82
2,1,Priority,0.01833,1102.98,419,1.00,1253.72,1376.74
1,2,Priority,0.01674,11.82,419,0.28,25.20,1881.20
2,2,Priority,0.03309,305.92,419,0.87,425.74,734.42
